"","artist","listens"
"1","Ariana Grande",2042
"2","Roy Woods",1181
"3","Ed Sheeran",1073
"4","Taylor Swift",988
"5","Death Cab for Cutie",573
"6","Drake",440
"7","Mac Miller",399
"8","Beyoncé",383
"9","Lana Del Rey",371
"10","Khalid",361
"11","Kanye West",338
"12","Kero One",338
"13","Rihanna",305
"14","Kendrick Lamar",301
"15","Lorde",298
"16","Cautious Clay",283
"17","Sia",272
"18","Tebi Rex",270
"19","Anna of the North",256
"20","Nicki Minaj",243
"21","Matt DiMona",217
"22","Tinashe",214
"23","Billie Eilish",213
"24","Childish Gambino",213
"25","Frank Ocean",211
"26","Perfume Genius",198
"27","Jai Paul",191
"28","Marc E. Bassy",163
"29","DJ Snake",160
"30","Trent Reznor and Atticus Ross",156
"31","Social House",154
"32","FATA BOOM",148
"33","Miguel",143
"34","Jeremih",138
"35","Dave",134
"36","Chance the Rapper",131
"37","Jhene Aiko",128
"38","Daniel D'artiste",124
"39","Loredana",123
"40","Cardi B",122
"41","Halsey",122
"42","Vince Staples",121
"43","Lil' Kim",116
"44","Santigold",116
"45","alt-J",112
"46","B Young",108
"47","Lady Gaga",107
"48","Sam Spiegel",103
"49","Wet",103
"50","Alina Baraz",99
"51","Vado",96
"52","Sugababes",95
"53","A$AP Rocky",94
"54","Rexx Life Raj",94
"55","The Fray",94
"56","N.W.A.",92
"57","Troye Sivan",92
"58","King Princess",91
"59","Norah Jones",91
"60","DJ Cam Quartet",90
"61","Post Malone",88
"62","Alicia Keys",87
"63","Hasan",86
"64","The Weeknd",83
"65","Tinchy Stryder",82
"66","THEY.",80
"67","RAY BLK",79
"68","PARTYNEXTDOOR",77
"69","6LACK",74
"70","Vince Guaraldi Trio",74
"71","50 Cent",73
"72","Ben Howard",73
"73","Big Sean",73
"74","Hailee Steinfeld",71
"75","ZHU",71
"76","khai dreams",70
"77","Saint Claire",70
"78","Selena Gomez",68
"79","Ella Mai",66
"80","Maroon 5",66
"81","Lay Coast",64
"82","Lizzo",62
"83","The 1975",62
"84","Discovery",61
"85","A Tribe Called Quest",60
"86","David Guetta",59
"87","Eminem",59
"88","Nelly",59
"89","Pham",58
"90","Major Lazer",57
"91","Samsa",57
"92","Still Fresh",57
"93","The Cinematic Orchestra",57
"94","2Pac",56
"95","Noname",56
"96","Sky Ferreira",56
"97","Bruno Mars",55
"98","Iggy Azalea",55
"99","Ro James",55
"100","Destiny's Child",54
"101","J. Cole",54
"102","SBTRKT",54
"103","The Beatles",54
"104","Cary Brothers",52
"105","James Bay",52
"106","Quinn XCII",52
"107","Rook1e",52
"108","James Blunt",51
"109","Mark Ronson",51
"110","The Blizzards",51
"111","Calin",50
"112","Justin Timberlake",49
"113","PnB Rock",49
"114","Katy Perry",48
"115","Fergie",47
"116","Isaac Waddington",47
"117","Red Hot Chili Peppers",47
"118","Joey Purp",46
"119","Jurassic 5",46
"120","Justin Bieber",46
"121","The Killers",46
"122","A-Trak",45
"123","Mura Masa",45
"124","RIZ LA VIE",45
"125","U2",45
"126","Jessie J",44
"127","Leikeli47",44
"128","Mallrat",43
"129","The Chainsmokers",43
"130","Young Money",43
"131","Fetty Wap",42
"132","MEMBA",42
"133","DJ Khaled",41
"134","Oddisee",41
"135","The Carters",41
"136","Ansel Elgort",40
"137","Dean Lewis",40
"138","Jaden",40
"139","Sean Paul",40
"140","J-Kwon",38
"141","Little Mix",38
"142","MØ",38
"143","Bryson Tiller",37
"144","Hello Peril",37
"145","Russ",37
"146","Chris Brown",36
"147","Ciara",36
"148","Daniel Caesar",36
"149","JAY Z",36
"150","KAYTRANADA",36
"151","Shawn Mendes",36
"152","Migos",35
"153","Saba",35
"154","ayokay",34
"155","Handsome Boy Modeling School",34
"156","Jon Bellion",34
"157","Kid Cudi",34
"158","Shwayze",34
"159","Busted",33
"160","Dominique Young Unique",33
"161","Floreyyyy",33
"162","Lia Ices",33
"163","Nick Jonas",33
"164","Thutmose",33
"165","WSTRN",33
"166","Yung Gravy",33
"167","Zara Larsson",33
"168","Anderson .Paak",32
"169","Blood Orange",32
"170","Fat Joe",32
"171","Fifth Harmony",32
"172","MadeinTYO",32
"173","Mann",32
"174","Pia Mia",32
"175","Shakira",32
"176","The Notorious B.I.G.",32
"177","Allan Rayman",31
"178","Clairo",31
"179","Muse",31
"180","Owl City",31
"181","Keenan",30
"182","Lady Leshurr",30
"183","Mariah Carey",30
"184","Rae Sremmurd",30
"185","Snoop Dogg",30
"186","Talib Kweli",30
"187","benny blanco",29
"188","Lil Wayne",29
"189","Mo' Horizons",29
"190","Olivia O'Brien",29
"191","CHO",28
"192","Luis Fonsi",28
"193","Tyga",28
"194","Cashmere Cat",27
"195","Dom O Briggs",27
"196","The Beach Boys",27
"197","070 Shake",26
"198","Bastille",26
"199","Cheat Codes",26
"200","flora cash",26
"201","Francis and the Lights",26
"202","Jeff Buckley",26
"203","M.I.A.",26
"204","Terror Jr",26
"205","Train",26
"206","2 Chainz",25
"207","Aaron London",25
"208","Ace Tee",25
"209","Desiigner",25
