"","song","artist","listens"
"1","I Will Follow You Into The Dark // Death Cab for Cutie","Death Cab for Cutie",573
"2","Cross Me (feat. Chance the Rapper & PnB Rock) // Ed Sheeran","Ed Sheeran",355
"3","Cold War // Cautious Clay","Cautious Clay",281
"4","Lovers // Anna of the North","Anna of the North",256
"5","green tea ice cream // Matt DiMona","Matt DiMona",217
"6","Beautiful People (feat. Khalid) // Ed Sheeran","Ed Sheeran",175
"7","Double Rum Cola - Single Edit // FATA BOOM","FATA BOOM",148
"8","I Won't Go // Daniel D'artiste","Daniel D'artiste",124
"9","Slip Away // Perfume Genius","Perfume Genius",124
"10","Chandelier // Sia","Sia",123
"11","Jetzt rufst du an // Loredana","Loredana",123
"12","Magic In The Hamptons (feat. Lil Yachty) // Social House","Social House",121
"13","Money // Cardi B","Cardi B",121
"14","Instinct (feat. MadeinTYO) // Roy Woods","Roy Woods",120
"15","Funky Friday // Dave","Dave",117
"16","boyfriend (with Social House) // Ariana Grande","Ariana Grande",114
"17","Something New // Roy Woods","Roy Woods",113
"18","Breezeblocks // alt-J","alt-J",112
"19","successful // Ariana Grande","Ariana Grande",111
"20","Jumanji // B Young","B Young",108
"21","BB // Roy Woods","Roy Woods",106
"22","Dangerous // Roy Woods","Roy Woods",104
"23","To Whom It May Concern // Sam Spiegel","Sam Spiegel",103
"24","ghostin // Ariana Grande","Ariana Grande",96
"25","The Jump Off // Lil' Kim","Lil' Kim",95
"26","Look at These Hoes // Santigold","Santigold",94
"27","Round Round // Sugababes","Sugababes",94
"28","It's All in Vain // Wet","Wet",93
"29","How to Save a Life // The Fray","The Fray",92
"30","South of the Border (feat. Camila Cabello & Cardi B) // Ed Sheeran","Ed Sheeran",91
"31","Involved // Roy Woods","Roy Woods",90
"32","Speaking In Tungs (feat Cam'ron) // Vado","Vado",90
"33","What Are You On? // Roy Woods","Roy Woods",90
"34","PA Nights // Mac Miller","Mac Miller",88
